Day,Date,Last Price,Volume,SMAVG(15)
Th,6/1/17,152.67,2.918M,3.864M
We,5/31/17,152.63,3.543M,4.003M
Tu,5/30/17,151.73,3.666M,4.224M
,,,,
Fr,5/26/17,152.49,2.444M,4.479M
Th,5/25/17,153.2,2.583M,5.151M
We,5/24/17,152.51,3.732M,5.264M
Tu,5/23/17,152.03,2.565M,5.281M
Mo,5/22/17,152.64,3.303M,5.324M
,,,,
Fr,5/19/17,151.98,5.643M,5.433M
Th,5/18/17,150.78,3.274M,5.334M
We,5/17/17,150.93,5.191M,5.39M
Tu,5/16/17,153.68,5.514M,5.333M
Mo,5/15/17,151.51,4.245M,5.289M
,,,,
Fr,5/12/17,150.37,3.716M,5.361M
Th,5/11/17,150.65,5.628M,5.487M
We,5/10/17,151.25,5M,5.544M
Tu,5/9/17,152.11,6.853M,6.497M
Mo,5/8/17,153.03,7.492M,6.463M
,,,,
Fr,5/5/17,155.05,12.521M,6.211M
Th,5/4/17,159.05,4.281M,5.59M
We,5/3/17,158.63,3.993M,5.523M
Tu,5/2/17,159.1,3.208M,5.583M
Mo,5/1/17,158.84,4.935M,5.622M
,,,,
Fr,4/28/17,160.29,4.154M,5.532M
Th,4/27/17,160.32,4.123M,5.484M
We,4/26/17,160.06,4.328M,5.625M
Tu,4/25/17,160.39,4.86M,5.544M
Mo,4/24/17,160.75,5.321M,5.506M
,,,,
Fr,4/21/17,160.38,5.608M,5.345M
Th,4/20/17,162.3,6.487M,5.183M
We,4/19/17,161.69,19.284M,4.956M
Tu,4/18/17,170.05,6.345M,3.905M
Mo,4/17/17,171.1,3.72M,3.7M
,,,,
Th,4/13/17,169.53,3.205M,3.666M
We,4/12/17,170.66,3.277M,3.702M
Tu,4/11/17,170.58,4.892M,3.713M
Mo,4/10/17,171.2,3.79M,3.649M
,,,,
Fr,4/7/17,172.14,3.588M,3.562M
Th,4/6/17,172.45,3.435M,3.717M
We,4/5/17,172.88,6.239M,3.776M
Tu,4/4/17,174.52,3.109M,3.614M
Mo,4/3/17,174.5,4.286M,3.617M
,,,,
Fr,3/31/17,174.14,2.914M,3.563M
Th,3/30/17,173.86,3.168M,3.575M
We,3/29/17,173.94,3.086M,3.727M
Tu,3/28/17,174.51,3.524M,3.759M
Mo,3/27/17,173.77,3.259M,3.722M
,,,,
Fr,3/24/17,173.83,3.222M,3.719M
Th,3/23/17,174.82,3.74M,3.626M
We,3/22/17,174.78,3.451M,3.571M
Tu,3/21/17,173.88,3.928M,3.541M
Mo,3/20/17,175.7,2.476M,3.498M
,,,,
Fr,3/17/17,175.65,5.921M,3.579M
Th,3/16/17,177.24,4.312M,3.404M
We,3/15/17,175.81,3.816M,3.269M
Tu,3/14/17,175.72,3.147M,3.216M
Mo,3/13/17,176.46,3.482M,3.304M
,,,,
Fr,3/10/17,177.83,3.1M,3.309M
Th,3/9/17,177.18,5.444M,3.319M
We,3/8/17,179.45,3.557M,3.151M
Tu,3/7/17,180.38,2.981M,3.098M
Mo,3/6/17,180.47,3.204M,3.106M
,,,,
Fr,3/3/17,180.05,1.825M,3.088M
Th,3/2/17,180.53,2.918M,3.172M
We,3/1/17,181.95,3.006M,3.172M
Tu,2/28/17,179.82,3.273M,3.23M
Mo,2/27/17,179.4,3.691M,3.188M
,,,,
Fr,2/24/17,181.35,3.3M,3.163M
Th,2/23/17,181.65,2.283M,3.117M
We,2/22/17,181.15,3.021M,3.152M
Tu,2/21/17,180.26,4.48M,3.226M
,,,,
Fr,2/17/17,180.67,3.552M,3.2M
Th,2/16/17,181.43,3.252M,3.196M
We,2/15/17,181.68,2.914M,3.183M
Tu,2/14/17,180.13,2.777M,3.384M
Mo,2/13/17,179.36,3.093M,3.662M
,,,,
Fr,2/10/17,178.68,2.931M,3.821M
Th,2/9/17,177.21,3.091M,4.472M
We,2/8/17,176.17,2.913M,4.73M
Tu,2/7/17,178.46,3.873M,4.803M
Mo,2/6/17,175.86,2.651M,4.766M
,,,,
Fr,2/3/17,175.82,3.309M,4.781M
Th,2/2/17,174.58,2.621M,4.755M
We,2/1/17,174.29,2.796M,4.821M
Tu,1/31/17,174.52,4.139M,4.909M
Mo,1/30/17,175.8,4.095M,4.845M
,,,,
Fr,1/27/17,177.3,3.482M,4.769M
Th,1/26/17,178.66,3.064M,4.716M
We,1/25/17,178.29,5.922M,4.737M
Tu,1/24/17,175.9,6.952M,4.537M
Mo,1/23/17,171.03,5.478M,4.271M
,,,,
Fr,1/20/17,170.55,12.69M,4.017M
Th,1/19/17,166.81,6.963M,3.288M
We,1/18/17,166.8,4.008M,2.917M
Tu,1/17/17,167.89,3.316M,2.763M
,,,,
Fr,1/13/17,167.34,2.875M,2.729M
Th,1/12/17,167.95,2.928M,2.775M
We,1/11/17,167.75,3.599M,2.725M
Tu,1/10/17,165.52,4.119M,2.682M
Mo,1/9/17,167.65,3.19M,2.882M
,,,,
Fr,1/6/17,169.53,2.946M,2.896M
Th,1/5/17,168.7,2.682M,2.974M
We,1/4/17,169.26,3.381M,3.191M
Tu,1/3/17,167.19,2.934M,3.192M
,,,,
Fr,12/30/16,165.99,2.953M,3.206M
Th,12/29/16,166.6,1.664M,3.227M
We,12/28/16,166.19,1.758M,3.411M
Tu,12/27/16,167.14,1.397M,3.485M
,,,,
Fr,12/23/16,166.71,1.701M,3.621M
Th,12/22/16,167.06,2.803M,3.691M
We,12/21/16,167.33,3.576M,3.813M
Tu,12/20/16,167.6,2.175M,3.868M
Mo,12/19/16,166.68,2.956M,3.933M
,,,,
Fr,12/16/16,166.73,7.121M,4.032M
Th,12/15/16,168.02,3.389M,3.665M
We,12/14/16,168.51,4.124M,3.589M
Tu,12/13/16,168.29,5.932M,3.499M
Mo,12/12/16,165.5,3.392M,3.413M
,,,,
Fr,12/9/16,166.52,3.147M,3.385M
Th,12/8/16,165.36,3.266M,3.326M
We,12/7/16,164.79,4.435M,3.259M
Tu,12/6/16,160.35,2.859M,3.195M
Mo,12/5/16,159.84,3.447M,3.35M
,,,,
Fr,12/2/16,160.02,2.741M,3.417M
Th,12/1/16,159.82,4.636M,3.749M
We,11/30/16,162.22,4.398M,3.8M
Tu,11/29/16,163.53,3.148M,3.768M
Mo,11/28/16,164.52,4.449M,3.812M
,,,,
Fr,11/25/16,163.14,1.605M,3.68M
We,11/23/16,161.98,2.256M,3.765M
Tu,11/22/16,162.67,2.771M,3.82M
Mo,11/21/16,162.77,4.637M,3.848M
,,,,
Fr,11/18/16,160.39,2.982M,3.775M
Th,11/17/16,159.8,2.261M,3.82M
We,11/16/16,159.29,2.253M,3.951M
Tu,11/15/16,158.67,3.477M,3.989M
Mo,11/14/16,158.21,5.196M,3.933M
,,,,
Fr,11/11/16,161.27,4.447M,3.765M
Th,11/10/16,160.22,7.716M,3.763M
We,11/9/16,154.81,5.404M,3.516M
Tu,11/8/16,155.17,3.922M,3.465M
Mo,11/7/16,155.72,3.805M,4.055M
,,,,
Fr,11/4/16,152.43,2.47M,4.194M
Th,11/3/16,152.37,2.879M,4.32M
We,11/2/16,151.95,3.074M,4.322M
Tu,11/1/16,152.79,3.192M,4.315M
Mo,10/31/16,153.69,3.553M,4.295M
,,,,
Fr,10/28/16,152.61,3.654M,4.224M
Th,10/27/16,153.35,4.229M,4.158M
We,10/26/16,151.81,2.812M,4.006M
Tu,10/25/16,150.88,2.647M,3.931M
Mo,10/24/16,150.57,2.667M,3.947M
,,,,
Fr,10/21/16,149.63,4.414M,3.918M
Th,10/20/16,151.52,4.023M,3.863M
We,10/19/16,151.26,4.633M,3.82M
Tu,10/18/16,150.72,12.771M,3.732M
Mo,10/17/16,154.77,5.89M,3.079M
,,,,
Fr,10/14/16,154.45,4.358M,2.856M
Th,10/13/16,153.72,2.91M,2.745M
We,10/12/16,154.29,2.964M,2.731M
Tu,10/11/16,154.79,2.901M,2.698M
Mo,10/10/16,157.02,2.481M,2.649M
,,,,
Fr,10/7/16,155.67,2.672M,2.646M
Th,10/6/16,156.88,1.95M,2.899M
We,10/5/16,157.08,1.684M,3.013M
Tu,10/4/16,156.46,2.884M,3.158M
Mo,10/3/16,157.61,2.228M,3.209M
,,,,
Fr,9/30/16,158.85,3.597M,3.351M
Th,9/29/16,158.11,3.375M,3.457M
We,9/28/16,158.29,3.31M,3.496M
Tu,9/27/16,156.77,2.987M,3.467M
Mo,9/26/16,153.98,2.533M,3.467M
,,,,
