Category: Investing,
,
Day,Dell stock: (Worldwide)
7/31/2016,0
7/30/2016,0
7/29/2016,0
7/28/2016,0
7/27/2016,0
7/26/2016,0
7/25/2016,25
7/24/2016,0
7/23/2016,0
7/22/2016,0
7/21/2016,51
7/20/2016,25
7/19/2016,51
7/18/2016,0
7/17/2016,29
7/16/2016,0
7/15/2016,0
7/14/2016,24
7/13/2016,0
7/12/2016,25
7/11/2016,0
7/10/2016,0
7/9/2016,0
7/8/2016,0
7/7/2016,0
7/6/2016,0
7/5/2016,50
7/4/2016,0
7/3/2016,0
7/2/2016,0
7/1/2016,0
6/30/2016,24
6/29/2016,24
6/28/2016,24
6/27/2016,0
6/26/2016,0
6/25/2016,0
6/24/2016,25
6/23/2016,0
6/22/2016,24
6/21/2016,0
6/20/2016,47
6/19/2016,28
6/18/2016,28
6/17/2016,0
6/16/2016,47
6/15/2016,0
6/14/2016,0
6/13/2016,23
6/12/2016,0
6/11/2016,0
6/10/2016,0
6/9/2016,0
6/8/2016,0
6/7/2016,24
6/6/2016,47
6/5/2016,0
6/4/2016,28
6/3/2016,0
6/2/2016,0
6/1/2016,0
5/31/2016,0
5/30/2016,0
5/29/2016,0
5/28/2016,0
5/27/2016,0
5/26/2016,25
5/25/2016,0
5/24/2016,24
5/23/2016,23
5/22/2016,0
5/21/2016,0
5/20/2016,0
5/19/2016,0
5/18/2016,23
5/17/2016,23
5/16/2016,0
5/15/2016,0
5/14/2016,0
5/13/2016,0
5/12/2016,24
5/11/2016,23
5/10/2016,0
5/9/2016,48
5/8/2016,0
5/7/2016,28
5/6/2016,0
5/5/2016,24
5/4/2016,0
5/3/2016,24
5/2/2016,0
5/1/2016,0
4/30/2016,27
4/29/2016,24
4/28/2016,24
4/27/2016,23
4/26/2016,23
4/25/2016,0
4/24/2016,27
4/23/2016,0
4/22/2016,0
4/21/2016,0
4/20/2016,0
4/19/2016,0
4/18/2016,0
4/17/2016,27
4/16/2016,0
4/15/2016,25
4/14/2016,24
4/13/2016,0
4/12/2016,0
4/11/2016,0
4/10/2016,0
4/9/2016,0
4/8/2016,25
4/7/2016,24
4/6/2016,23
4/5/2016,0
4/4/2016,0
4/3/2016,27
4/2/2016,0
4/1/2016,0
3/31/2016,24
3/30/2016,0
3/29/2016,23
3/28/2016,0
3/27/2016,0
3/26/2016,0
3/25/2016,8
3/24/2016,7
3/23/2016,0
3/22/2016,7
3/21/2016,20
3/20/2016,0
3/19/2016,0
3/18/2016,7
3/17/2016,27
3/16/2016,13
3/15/2016,7
3/14/2016,7
3/13/2016,0
3/12/2016,8
3/11/2016,14
3/10/2016,7
3/9/2016,7
3/8/2016,20
3/7/2016,13
3/6/2016,0
3/5/2016,0
3/4/2016,7
3/3/2016,7
3/2/2016,7
3/1/2016,7
2/29/2016,6
2/28/2016,7
2/27/2016,0
2/26/2016,0
2/25/2016,0
2/24/2016,7
2/23/2016,7
2/22/2016,7
2/21/2016,8
2/20/2016,8
2/19/2016,0
2/18/2016,7
2/17/2016,13
2/16/2016,10
2/15/2016,7
2/14/2016,0
2/13/2016,0
2/12/2016,7
2/11/2016,7
2/10/2016,0
2/9/2016,14
2/8/2016,10
2/7/2016,8
2/6/2016,0
2/5/2016,21
2/4/2016,0
2/3/2016,7
2/2/2016,0
2/1/2016,0
1/31/2016,8
1/30/2016,0
1/29/2016,7
1/28/2016,7
1/27/2016,7
1/26/2016,0
1/25/2016,7
1/24/2016,8
1/23/2016,0
1/22/2016,7
1/21/2016,14
