Category: Investing,
,
Day,Seagate stock: (Worldwide)
6/2/2016,28
6/1/2016,18
5/31/2016,0
5/30/2016,18
5/29/2016,21
5/28/2016,0
5/27/2016,19
5/26/2016,0
5/25/2016,18
5/24/2016,53
5/23/2016,0
5/22/2016,21
5/21/2016,21
5/20/2016,0
5/19/2016,0
5/18/2016,18
5/17/2016,18
5/16/2016,18
5/15/2016,0
5/14/2016,21
5/13/2016,19
5/12/2016,18
5/11/2016,18
5/10/2016,18
5/9/2016,27
5/8/2016,21
5/7/2016,0
5/6/2016,38
5/5/2016,19
5/4/2016,27
5/3/2016,45
5/2/2016,46
5/1/2016,42
4/30/2016,21
4/29/2016,95
4/28/2016,18
4/27/2016,18
4/26/2016,18
4/25/2016,53
4/24/2016,0
4/23/2016,0
4/22/2016,19
4/21/2016,18
4/20/2016,18
4/19/2016,27
4/18/2016,54
4/17/2016,0
4/16/2016,21
4/15/2016,66
4/14/2016,100
4/13/2016,0
4/12/2016,18
4/11/2016,18
4/10/2016,0
4/9/2016,0
4/8/2016,0
4/7/2016,18
4/6/2016,0
4/5/2016,0
4/4/2016,18
4/3/2016,0
4/2/2016,0
4/1/2016,19
3/31/2016,18
3/30/2016,36
3/29/2016,0
3/28/2016,38
3/27/2016,0
3/26/2016,38
3/25/2016,36
3/24/2016,100
3/23/2016,0
3/22/2016,31
3/21/2016,32
3/20/2016,0
3/19/2016,0
3/18/2016,66
3/17/2016,63
3/16/2016,0
3/15/2016,0
3/14/2016,62
3/13/2016,35
3/12/2016,0
3/11/2016,33
3/10/2016,31
3/9/2016,93
3/8/2016,61
3/7/2016,31
3/6/2016,0
3/5/2016,0
3/4/2016,0
3/3/2016,0
3/2/2016,0
3/1/2016,31
2/29/2016,0
2/28/2016,0
2/27/2016,0
2/26/2016,0
2/25/2016,63
2/24/2016,0
2/23/2016,31
2/22/2016,31
2/21/2016,0
2/20/2016,36
2/19/2016,0
2/18/2016,31
2/17/2016,63
2/16/2016,0
2/15/2016,31
2/14/2016,0
2/13/2016,0
2/12/2016,0
2/11/2016,0
2/10/2016,0
2/9/2016,0
2/8/2016,0
2/7/2016,0
2/6/2016,0
2/5/2016,33
2/4/2016,32
2/3/2016,0
2/2/2016,0
2/1/2016,94
1/31/2016,0
1/30/2016,36
1/29/2016,33
1/28/2016,0
1/27/2016,0
1/26/2016,0
1/25/2016,32
1/24/2016,0
1/23/2016,36
1/22/2016,0
1/21/2016,0
1/20/2016,0
1/19/2016,0
1/18/2016,0
1/17/2016,0
1/16/2016,0
1/15/2016,0
1/14/2016,32
1/13/2016,64
1/12/2016,0
1/11/2016,0
1/10/2016,0
1/9/2016,0
1/8/2016,0
1/7/2016,32
1/6/2016,0
1/5/2016,0
1/4/2016,0
1/3/2016,0
1/2/2016,0
1/1/2016,0
12/31/2015,0
12/30/2015,0
12/29/2015,0
12/28/2015,32
12/27/2015,0
12/26/2015,0
12/25/2015,41
12/24/2015,0
12/23/2015,34
12/22/2015,0
12/21/2015,0
12/20/2015,0
12/19/2015,0
12/18/2015,33
12/17/2015,0
12/16/2015,32
12/15/2015,0
12/14/2015,0
12/13/2015,0
12/12/2015,0
12/11/2015,32
12/10/2015,30
12/9/2015,0
12/8/2015,0
12/7/2015,0
12/6/2015,0
12/5/2015,0
12/4/2015,31
12/3/2015,30
12/2/2015,0
12/1/2015,0
11/30/2015,0
11/29/2015,0
11/28/2015,0
11/27/2015,0
11/26/2015,0
11/25/2015,0
11/24/2015,30
11/23/2015,30
11/22/2015,0
11/21/2015,0
11/20/2015,0
11/19/2015,30
11/18/2015,30
11/17/2015,30
11/16/2015,0
11/15/2015,0
11/14/2015,0
11/13/2015,32
11/12/2015,0
11/11/2015,0
11/10/2015,0
