Category: Investing,
,
Day,WD stock: (Worldwide)
1/20/2016,51
1/19/2016,0
1/18/2016,0
1/17/2016,0
1/16/2016,0
1/15/2016,0
1/14/2016,0
1/13/2016,51
1/12/2016,0
1/11/2016,50
1/10/2016,0
1/9/2016,0
1/8/2016,0
1/7/2016,0
1/6/2016,0
1/5/2016,0
1/4/2016,0
1/3/2016,59
1/2/2016,0
1/1/2016,0
12/31/2015,0
12/30/2015,0
12/29/2015,52
12/28/2015,0
12/27/2015,0
12/26/2015,0
12/25/2015,0
12/24/2015,0
12/23/2015,0
12/22/2015,0
12/21/2015,0
12/20/2015,0
12/19/2015,0
12/18/2015,53
12/17/2015,0
12/16/2015,49
12/15/2015,0
12/14/2015,47
12/13/2015,0
12/12/2015,0
12/11/2015,0
12/10/2015,0
12/9/2015,0
12/8/2015,48
12/7/2015,0
12/6/2015,0
12/5/2015,0
12/4/2015,50
12/3/2015,0
12/2/2015,0
12/1/2015,0
11/30/2015,0
11/29/2015,0
11/28/2015,0
11/27/2015,0
11/26/2015,50
11/25/2015,0
11/24/2015,0
11/23/2015,0
11/22/2015,0
11/21/2015,0
11/20/2015,50
11/19/2015,0
11/18/2015,48
11/17/2015,48
11/16/2015,49
11/15/2015,0
11/14/2015,0
11/13/2015,51
11/12/2015,49
11/11/2015,0
11/10/2015,48
11/9/2015,0
11/8/2015,55
11/7/2015,0
11/6/2015,0
11/5/2015,0
11/4/2015,48
11/3/2015,47
11/2/2015,0
11/1/2015,57
10/31/2015,0
10/30/2015,0
10/29/2015,0
10/28/2015,0
10/27/2015,47
10/26/2015,0
10/25/2015,0
10/24/2015,57
10/23/2015,0
10/22/2015,0
10/21/2015,47
10/20/2015,48
10/19/2015,0
10/18/2015,0
10/17/2015,0
10/16/2015,0
10/15/2015,0
10/14/2015,48
10/13/2015,0
10/12/2015,0
10/11/2015,57
10/10/2015,0
10/9/2015,0
10/8/2015,49
10/7/2015,0
10/6/2015,0
10/5/2015,48
10/4/2015,0
10/3/2015,0
10/2/2015,0
10/1/2015,49
9/30/2015,0
9/29/2015,0
9/28/2015,0
9/27/2015,0
9/26/2015,0
9/25/2015,0
