Category: Investing,
,
Day,IBM stock: (Worldwide)
10/6/2015,10
10/5/2015,21
10/4/2015,0
10/3/2015,24
10/2/2015,0
10/1/2015,62
9/30/2015,10
9/29/2015,21
9/28/2015,31
9/27/2015,12
9/26/2015,15
9/25/2015,26
9/24/2015,38
9/23/2015,31
9/22/2015,30
9/21/2015,24
9/20/2015,14
9/19/2015,29
9/18/2015,39
9/17/2015,19
9/16/2015,37
9/15/2015,12
9/14/2015,31
9/13/2015,21
9/12/2015,0
9/11/2015,65
9/10/2015,44
9/9/2015,80
9/8/2015,31
9/7/2015,39
9/6/2015,30
9/5/2015,30
9/4/2015,39
9/3/2015,32
9/2/2015,44
9/1/2015,49
8/31/2015,0
8/30/2015,0
8/29/2015,30
8/28/2015,33
8/27/2015,32
8/26/2015,70
8/25/2015,81
8/24/2015,100
8/23/2015,0
8/22/2015,15
8/21/2015,33
8/20/2015,26
8/19/2015,26
8/18/2015,38
8/17/2015,25
8/16/2015,30
8/15/2015,15
8/14/2015,20
8/13/2015,26
8/12/2015,46
8/11/2015,71
8/10/2015,26
8/9/2015,0
8/8/2015,16
8/7/2015,28
8/6/2015,53
8/5/2015,26
8/4/2015,32
8/3/2015,33
8/2/2015,16
8/1/2015,0
7/31/2015,34
7/30/2015,26
7/29/2015,19
7/28/2015,32
7/27/2015,19
7/26/2015,23
7/25/2015,23
7/24/2015,34
7/23/2015,39
7/22/2015,65
7/21/2015,66
7/20/2015,41
7/19/2015,17
7/18/2015,25
7/17/2015,35
7/16/2015,67
7/15/2015,20
7/14/2015,13
7/13/2015,19
7/12/2015,0
7/11/2015,16
7/10/2015,41
7/9/2015,13
7/8/2015,32
7/7/2015,19
7/6/2015,32
7/5/2015,16
7/4/2015,16
7/3/2015,56
7/2/2015,0
7/1/2015,13
6/30/2015,52
6/29/2015,19
6/28/2015,31
6/27/2015,31
6/26/2015,14
6/25/2015,27
6/24/2015,39
6/23/2015,19
6/22/2015,26
6/21/2015,15
6/20/2015,16
6/19/2015,41
6/18/2015,26
6/17/2015,39
6/16/2015,38
6/15/2015,32
6/14/2015,0
6/13/2015,0
6/12/2015,27
6/11/2015,26
6/10/2015,32
6/9/2015,51
6/8/2015,25
6/7/2015,0
6/6/2015,0
6/5/2015,21
6/4/2015,13
6/3/2015,26
6/2/2015,32
6/1/2015,19
5/31/2015,0
5/30/2015,0
5/29/2015,40
5/28/2015,19
5/27/2015,25
5/26/2015,25
5/25/2015,27
5/24/2015,31
5/23/2015,16
5/22/2015,34
5/21/2015,39
5/20/2015,26
5/19/2015,13
5/18/2015,13
5/17/2015,15
5/16/2015,15
5/15/2015,14
5/14/2015,33
5/13/2015,26
5/12/2015,52
5/11/2015,26
5/10/2015,0
5/9/2015,16
5/8/2015,62
5/7/2015,39
5/6/2015,52
5/5/2015,45
5/4/2015,39
5/3/2015,15
5/2/2015,15
5/1/2015,37
4/30/2015,60
4/29/2015,58
4/28/2015,51
4/27/2015,19
4/26/2015,38
4/25/2015,23
4/24/2015,41
4/23/2015,46
4/22/2015,45
4/21/2015,52
4/20/2015,52
4/19/2015,15
4/18/2015,62
4/17/2015,48
4/16/2015,52
4/15/2015,13
4/14/2015,26
4/13/2015,26
4/12/2015,15
4/11/2015,31
4/10/2015,28
4/9/2015,39
4/8/2015,13
4/7/2015,19
4/6/2015,41
4/5/2015,40
4/4/2015,16
4/3/2015,0
4/2/2015,56
4/1/2015,20
3/31/2015,39
3/30/2015,19
3/29/2015,0
3/28/2015,33
3/27/2015,14
3/26/2015,46
3/25/2015,0
3/24/2015,53
3/23/2015,13
3/22/2015,15
3/21/2015,16
3/20/2015,28
3/19/2015,40
3/18/2015,27
3/17/2015,27
3/16/2015,0
3/15/2015,15
3/14/2015,31
3/13/2015,28
3/12/2015,13
3/11/2015,13
3/10/2015,13
3/9/2015,26
3/8/2015,0
3/7/2015,16
3/6/2015,28
3/5/2015,40
3/4/2015,40
3/3/2015,53
3/2/2015,26
3/1/2015,31
2/28/2015,16
2/27/2015,0
2/26/2015,95
2/25/2015,27
2/24/2015,13
2/23/2015,66
2/22/2015,31
2/21/2015,0
2/20/2015,42
2/19/2015,41
2/18/2015,41
2/17/2015,42
2/16/2015,28
2/15/2015,0
2/14/2015,16
2/13/2015,28
2/12/2015,27
2/11/2015,53
2/10/2015,40
2/9/2015,27
2/8/2015,16
2/7/2015,16
2/6/2015,14
2/5/2015,68
2/4/2015,54
2/3/2015,27
2/2/2015,13
2/1/2015,31
1/31/2015,0
1/30/2015,42
1/29/2015,41
1/28/2015,53
1/27/2015,27
1/26/2015,27
1/25/2015,32
1/24/2015,0
1/23/2015,56
1/22/2015,27
1/21/2015,95
1/20/2015,13
1/19/2015,14
1/18/2015,16
1/17/2015,16
1/16/2015,14
1/15/2015,28
1/14/2015,0
1/13/2015,54
1/12/2015,0
1/11/2015,48
1/10/2015,16
1/9/2015,43
1/8/2015,0
1/7/2015,55
1/6/2015,28
1/5/2015,28
1/4/2015,16
1/3/2015,17
1/2/2015,63
1/1/2015,0
12/31/2014,0
12/30/2014,0
12/29/2014,0
12/28/2014,17
12/27/2014,17
12/26/2014,17
12/25/2014,38
12/24/2014,18
12/23/2014,16
12/22/2014,45
12/21/2014,35
12/20/2014,18
12/19/2014,0
12/18/2014,59
12/17/2014,29
12/16/2014,0
12/15/2014,43
12/14/2014,0
12/13/2014,0
12/12/2014,45
12/11/2014,28
12/10/2014,28
12/9/2014,28
12/8/2014,0
12/7/2014,0
12/6/2014,0
12/5/2014,30
12/4/2014,43
12/3/2014,42
12/2/2014,28
12/1/2014,14
11/30/2014,16
11/29/2014,33
11/28/2014,0
11/27/2014,15
11/26/2014,0
11/25/2014,42
11/24/2014,42
11/23/2014,16
11/22/2014,0
11/21/2014,45
11/20/2014,29
11/19/2014,29
11/18/2014,30
11/17/2014,14
11/16/2014,0
11/15/2014,0
11/14/2014,0
11/13/2014,14
11/12/2014,14
11/11/2014,14
11/10/2014,28
11/9/2014,0
11/8/2014,0
11/7/2014,0
11/6/2014,15
11/5/2014,57
11/4/2014,28
11/3/2014,58
11/2/2014,0
11/1/2014,35
10/31/2014,62
10/30/2014,44
10/29/2014,86
10/28/2014,43
10/27/2014,43
10/26/2014,17
10/25/2014,35
10/24/2014,62
10/23/2014,59
10/22/2014,43
10/21/2014,100
10/20/2014,86
10/19/2014,0
10/18/2014,18
10/17/2014,30
10/16/2014,29
10/15/2014,28
10/14/2014,43
10/13/2014,0
10/12/2014,0
10/11/2014,18
10/10/2014,0
10/9/2014,15
10/8/2014,44
10/7/2014,15
10/6/2014,44
10/5/2014,0
10/4/2014,0
10/3/2014,32
10/2/2014,30
10/1/2014,15
9/30/2014,15
9/29/2014,15
9/28/2014,18
9/27/2014,36
9/26/2014,28
9/25/2014,36
9/24/2014,44
9/23/2014,26
9/22/2014,35
9/21/2014,41
9/20/2014,21
9/19/2014,0
9/18/2014,36
9/17/2014,80
9/16/2014,62
9/15/2014,36
9/14/2014,21
9/13/2014,21
9/12/2014,56
9/11/2014,27
9/10/2014,35
9/9/2014,35
9/8/2014,18
9/7/2014,21
9/6/2014,0
9/5/2014,28
9/4/2014,27
9/3/2014,62
9/2/2014,35
9/1/2014,37
8/31/2014,43
8/30/2014,0
8/29/2014,19
8/28/2014,74
8/27/2014,18
8/26/2014,36
8/25/2014,27
8/24/2014,0
8/23/2014,45
8/22/2014,19
8/21/2014,19
8/20/2014,28
8/19/2014,28
8/18/2014,28
8/17/2014,22
8/16/2014,22
8/15/2014,31
8/14/2014,38
8/13/2014,19
8/12/2014,18
8/11/2014,38
8/10/2014,23
8/9/2014,68
8/8/2014,40
8/7/2014,41
8/6/2014,19
8/5/2014,0
8/4/2014,76
8/3/2014,23
8/2/2014,23
8/1/2014,20
7/31/2014,19
7/30/2014,19
7/29/2014,19
7/28/2014,19
7/27/2014,23
7/26/2014,23
7/25/2014,50
7/24/2014,38
7/23/2014,19
7/22/2014,19
7/21/2014,28
7/20/2014,0
7/19/2014,23
7/18/2014,100
7/17/2014,67
7/16/2014,58
7/15/2014,37
7/14/2014,37
7/13/2014,22
7/12/2014,34
7/11/2014,20
7/10/2014,29
7/9/2014,47
7/8/2014,37
7/7/2014,38
7/6/2014,23
7/5/2014,0
7/4/2014,21
7/3/2014,68
7/2/2014,19
7/1/2014,56
6/30/2014,19
6/29/2014,23
6/28/2014,0
6/27/2014,30
6/26/2014,66
6/25/2014,37
6/24/2014,18
6/23/2014,38
6/22/2014,23
6/21/2014,0
6/20/2014,20
6/19/2014,29
6/18/2014,28
6/17/2014,19
6/16/2014,28
6/15/2014,0
6/14/2014,0
6/13/2014,0
6/12/2014,37
6/11/2014,56
6/10/2014,28
6/9/2014,0
6/8/2014,23
6/7/2014,23
6/6/2014,40
6/5/2014,28
6/4/2014,36
6/3/2014,46
6/2/2014,28
6/1/2014,23
5/31/2014,23
5/30/2014,39
5/29/2014,47
5/28/2014,37
5/27/2014,27
5/26/2014,19
5/25/2014,22
5/24/2014,22
5/23/2014,19
5/22/2014,37
5/21/2014,18
5/20/2014,50
5/19/2014,17
5/18/2014,0
5/17/2014,41
5/16/2014,18
5/15/2014,34
5/14/2014,34
5/13/2014,0
5/12/2014,82
5/11/2014,0
5/10/2014,0
5/9/2014,18
5/8/2014,0
5/7/2014,25
5/6/2014,50
5/5/2014,51
5/4/2014,20
5/3/2014,0
5/2/2014,54
5/1/2014,74
4/30/2014,34
4/29/2014,51
4/28/2014,33
4/27/2014,20
4/26/2014,20
4/25/2014,53
4/24/2014,43
4/23/2014,34
4/22/2014,59
4/21/2014,27
4/20/2014,43
4/19/2014,21
4/18/2014,49
4/17/2014,72
4/16/2014,35
4/15/2014,51
4/14/2014,34
4/13/2014,40
4/12/2014,81
4/11/2014,0
4/10/2014,60
4/9/2014,33
4/8/2014,50
4/7/2014,49
4/6/2014,20
4/5/2014,40
4/4/2014,35
4/3/2014,17
4/2/2014,67
4/1/2014,33
3/31/2014,58
3/30/2014,49
3/29/2014,30
3/28/2014,35
3/27/2014,30
3/26/2014,30
3/25/2014,79
3/24/2014,60
3/23/2014,0
3/22/2014,24
3/21/2014,21
3/20/2014,30
3/19/2014,10
3/18/2014,20
3/17/2014,10
3/16/2014,0
3/15/2014,12
3/14/2014,32
3/13/2014,31
3/12/2014,10
3/11/2014,10
3/10/2014,20
3/9/2014,24
3/8/2014,12
3/7/2014,32
3/6/2014,41
3/5/2014,0
3/4/2014,20
3/3/2014,20
3/2/2014,12
3/1/2014,12
2/28/2014,10
2/27/2014,0
2/26/2014,10
2/25/2014,20
2/24/2014,10
2/23/2014,12
2/22/2014,0
2/21/2014,31
2/20/2014,0
2/19/2014,10
2/18/2014,10
2/17/2014,0
2/16/2014,12
2/15/2014,0
2/14/2014,11
2/13/2014,20
2/12/2014,10
2/11/2014,10
2/10/2014,30
2/9/2014,0
2/8/2014,0
2/7/2014,23
2/6/2014,41
2/5/2014,0
2/4/2014,10
2/3/2014,10
2/2/2014,0
2/1/2014,0
1/31/2014,11
1/30/2014,0
1/29/2014,0
1/28/2014,40
1/27/2014,10
1/26/2014,12
1/25/2014,12
1/24/2014,62
1/23/2014,51
1/22/2014,40
1/21/2014,51
1/20/2014,30
1/19/2014,35
1/18/2014,12
1/17/2014,32
